0,1,2,3,4
россия 1,местное время,3.1,16.6,3.9
тнт,сокровища императора,2.8,14.2,6.4
россия 1,вести. (20:00),2.8,16.5,5.4
стс,джуманджи: новый уровень,2.7,14.1,6.2
тнт,экстрасенсы. реванш,2.4,13.3,3.8
россия 1,вести недели,2.4,12.2,7.0
россия 1,выборы президента россии 2024,2.2,10.8,5.7
стс,инспектор гаврилов,2.2,12.8,2.7
нтв,"""следствие вели..."" с леонидом каневским",2.2,13.9,3.3
первый канал,переведи ее через майдан,2.1,12.1,3.5
россия 1,анна медиум,2.1,10.8,3.2
тнт,шоу воли,2.0,10.5,4.6
первый канал,голос,2.0,12.0,5.5
первый канал,время,2.0,10.3,4.1
россия 1,60 минут,2.0,17.5,5.8
тнт,конфетка,1.9,9.9,5.0
стс,"короче, план такой",1.9,10.8,2.9
пятница,молодые ножи,1.9,9.9,3.8
тнт,комеди клаб,1.8,9.5,3.4
нтв,ты не поверишь!,1.8,9.0,4.0
стс,уральские пельмени,1.8,11.5,4.5
россия 1,пятеро на одного,1.7,16.7,2.7
пятница,большие девочки,1.7,9.9,2.8
матч тв,футбол. кубок россии 2023-2024 (зенит (санкт-петербург) - динамо (москва)),1.7,8.8,4.0
пятый канал,след,1.6,8.4,2.0
нтв,звезды,1.6,8.2,4.9
россия 1,удивительные люди,1.6,9.5,5.0
нтв,сегодня днем. (16:00),1.6,12.8,2.0
нтв,дачный ответ,1.6,11.9,2.9
пятница,битва шефов,1.6,8.2,3.7
матч тв,футбол. кубок россии 2023-2024 (цска (москва) - ростов (ростов-на-дону)),1.6,8.1,3.6
рен тв,новости. (19:30),1.6,8.7,2.1
первый канал,новости. (07:30),1.5,23.7,1.8
россия 1,утро россии,1.5,22.0,1.8
россия 1,вести. (11:00),1.5,11.6,2.9
россия 1,вечер с владимиром соловьевым,1.5,18.9,3.3
тнт,экстрасенсы. битва сильнейших,1.5,10.8,2.7
мосфильм. золотая коллекция,"кавказская пленница, или новые приключения шурика",1.5,6.9,2.6
пятница,на ножах,1.5,9.9,2.7
тнт,камера мотор,1.5,7.6,2.0
первый канал,"телеканал ""доброе утро""",1.5,21.2,2.0
матч тв,футбол. кубок россии 2023-2024 (спартак (москва) - оренбург (оренбург)),1.5,11.2,3.4
пятница,молодые ножи (повтор),1.5,7.8,3.2
рен тв,земное ядро: бросок в преисподнюю,1.4,7.4,4.0
пятница,четыре свадьбы,1.4,7.0,2.5
нтв,наш потреб надзор,1.4,10.6,2.6
россия 1,воскресный вечер с владимиром соловьевым,1.4,8.7,2.2
нтв,своя игра,1.4,8.7,2.2
нтв,выборы 2024,1.4,7.4,10.1
рен тв,стражи галактики. часть 2,1.4,7.3,4.8
тнт,женский стендап,1.4,8.5,2.9
россия 1,вести. (14:00),1.4,9.8,2.1
стс,джуманджи: зов джунглей,1.4,9.6,4.0
нтв,квартирный вопрос,1.4,13.4,2.3
россия 1,вести. (07:30),1.4,21.3,1.5
первый канал,большая игра,1.4,9.0,2.7
россия 1,крым. 10 лет,1.4,10.0,2.9
первый канал,"новости. (12:00 сб, вск)",1.4,9.9,2.0
пятница,погнали!,1.4,6.1,4.3
нтв,10 дней до весны,1.3,6.4,2.3
россия 1,вести. (09:00),1.3,16.2,1.7
нтв,центральное телевидение,1.3,7.4,3.9
россия 1,москва. кремль. путин,1.3,10.1,2.2
нтв,чудо техники с сергеем малоземовым,1.3,9.8,2.5
пятый канал,великолепная пятерка,1.3,6.2,1.8
россия 1,сто к одному,1.3,10.4,2.3
рен тв,защитник,1.3,5.7,3.2
первый канал,мужское/женское,1.3,13.9,1.7
первый канал,новости. (08:00),1.3,17.9,1.4
первый канал,цивилизации,1.3,7.1,3.6
стс,прятки,1.3,6.8,2.5
россия 1,бесогон тв,1.3,10.5,2.5
первый канал,вечерние новости,1.3,6.8,3.3
стс,назад к динозаврам,1.3,9.1,2.2
рен тв,птица в клетке. заражение,1.3,8.9,3.0
пятница,мастер кондитер,1.3,6.9,2.7
мосфильм. золотая коллекция,иван васильевич меняет профессию,1.3,5.7,2.4
рен тв,новости. итоговая программа,1.3,8.9,3.2
нтв,международная пилорама с тиграном кеосаяном,1.2,8.3,2.1
нтв,место встречи,1.2,15.5,2.5
мосфильм. золотая коллекция,"операция ""ы"" и другие приключения шурика",1.2,6.2,1.9
рен тв,добровэфире,1.2,7.5,1.8
первый канал,новости. (07:00),1.2,20.2,1.7
первый канал,время покажет,1.2,8.7,3.3
тнт,новая фабрика звезд,1.2,6.8,3.9
нтв,сегодня утром. (10:00),1.2,16.1,1.4
первый канал,новости. (09:00),1.2,18.1,1.6
рен тв,новости. (23:00),1.2,7.0,1.4
стс,как деревянко ломоносова играл,1.2,8.1,2.4
первый канал,человек и закон,1.2,9.2,2.8
россия 1,вести. (08:00),1.2,16.5,1.2
рен тв,xxx - три икса,1.2,5.5,3.6
рен тв,смотреть всем!,1.2,5.6,2.7
тнт,лига городов,1.2,6.0,2.9
первый канал,новости. (12:00),1.2,13.8,1.6
первый канал,новости. (08:30),1.2,20.3,1.4
россия 1,вести. (16:00),1.2,7.6,2.3
россия 1,вести. (07:00),1.2,21.1,1.4
мир,судьба резидента,1.2,6.9,1.5
стс,окнутые люди,1.2,5.5,3.6
