0,1,2,3,4
россия 1,местное время,3.0,16.5,3.8
тнт,сокровища императора,2.7,14.1,6.3
россия 1,вести. (20:00),2.7,16.4,5.3
стс,джуманджи: новый уровень,2.6,14.0,6.1
тнт,экстрасенсы. реванш,2.3,13.2,3.7
россия 1,вести недели,2.3,12.1,6.9
россия 1,выборы президента россии 2024,2.1,10.7,5.6
стс,инспектор гаврилов,2.1,12.7,2.6
нтв,"""следствие вели..."" с леонидом каневским",2.1,13.8,3.2
первый канал,переведи ее через майдан,2.0,12.0,3.4
россия 1,анна медиум,2.0,10.7,3.1
тнт,шоу воли,1.9,10.4,4.5
первый канал,голос,1.9,11.9,5.4
первый канал,время,1.9,10.2,4.0
россия 1,60 минут,1.9,17.4,5.7
тнт,конфетка,1.8,9.8,4.9
стс,"короче, план такой",1.8,10.7,2.8
пятница,молодые ножи,1.8,9.8,3.7
тнт,комеди клаб,1.7,9.4,3.3
нтв,ты не поверишь!,1.7,8.9,3.9
стс,уральские пельмени,1.7,11.4,4.4
россия 1,пятеро на одного,1.6,16.6,2.6
пятница,большие девочки,1.6,9.8,2.7
матч тв,футбол. кубок россии 2023-2024 (зенит (санкт-петербург) - динамо (москва)),1.6,8.7,3.9
пятый канал,след,1.5,8.3,1.9
нтв,звезды,1.5,8.1,4.8
россия 1,удивительные люди,1.5,9.4,4.9
нтв,сегодня днем. (16:00),1.5,12.7,1.9
нтв,дачный ответ,1.5,11.8,2.8
пятница,битва шефов,1.5,8.1,3.6
матч тв,футбол. кубок россии 2023-2024 (цска (москва) - ростов (ростов-на-дону)),1.5,8.0,3.5
рен тв,новости. (19:30),1.5,8.6,2.0
первый канал,новости. (07:30),1.4,23.6,1.7
россия 1,утро россии,1.4,21.9,1.7
россия 1,вести. (11:00),1.4,11.5,2.8
россия 1,вечер с владимиром соловьевым,1.4,18.8,3.2
тнт,экстрасенсы. битва сильнейших,1.4,10.7,2.6
мосфильм. золотая коллекция,"кавказская пленница, или новые приключения шурика",1.4,6.8,2.5
пятница,на ножах,1.4,9.8,2.6
тнт,камера мотор,1.4,7.5,1.9
первый канал,"телеканал ""доброе утро""",1.4,21.1,1.9
матч тв,футбол. кубок россии 2023-2024 (спартак (москва) - оренбург (оренбург)),1.4,11.1,3.3
пятница,молодые ножи (повтор),1.4,7.7,3.1
рен тв,земное ядро: бросок в преисподнюю,1.3,7.3,3.9
пятница,четыре свадьбы,1.3,6.9,2.4
нтв,наш потреб надзор,1.3,10.5,2.5
россия 1,воскресный вечер с владимиром соловьевым,1.3,8.6,2.1
нтв,своя игра,1.3,8.6,2.1
нтв,выборы 2024,1.3,7.3,10.0
рен тв,стражи галактики. часть 2,1.3,7.2,4.7
тнт,женский стендап,1.3,8.4,2.8
россия 1,вести. (14:00),1.3,9.7,2.0
стс,джуманджи: зов джунглей,1.3,9.5,3.9
нтв,квартирный вопрос,1.3,13.3,2.2
россия 1,вести. (07:30),1.3,21.2,1.4
первый канал,большая игра,1.3,8.9,2.6
россия 1,крым. 10 лет,1.3,9.9,2.8
первый канал,"новости. (12:00 сб, вск)",1.3,9.8,1.9
пятница,погнали!,1.3,6.0,4.2
нтв,10 дней до весны,1.2,6.3,2.2
россия 1,вести. (09:00),1.2,16.1,1.6
нтв,центральное телевидение,1.2,7.3,3.8
россия 1,москва. кремль. путин,1.2,10.0,2.1
нтв,чудо техники с сергеем малоземовым,1.2,9.7,2.4
пятый канал,великолепная пятерка,1.2,6.1,1.7
россия 1,сто к одному,1.2,10.3,2.2
рен тв,защитник,1.2,5.6,3.1
первый канал,мужское/женское,1.2,13.8,1.6
первый канал,новости. (08:00),1.2,17.8,1.3
первый канал,цивилизации,1.2,7.0,3.5
стс,прятки,1.2,6.7,2.4
россия 1,бесогон тв,1.2,10.4,2.4
первый канал,вечерние новости,1.2,6.7,3.2
стс,назад к динозаврам,1.2,9.0,2.1
рен тв,птица в клетке. заражение,1.2,8.8,2.9
пятница,мастер кондитер,1.2,6.8,2.6
мосфильм. золотая коллекция,иван васильевич меняет профессию,1.2,5.6,2.3
рен тв,новости. итоговая программа,1.2,8.8,3.1
нтв,международная пилорама с тиграном кеосаяном,1.1,8.2,2.0
нтв,место встречи,1.1,15.4,2.4
мосфильм. золотая коллекция,"операция ""ы"" и другие приключения шурика",1.1,6.1,1.8
рен тв,добровэфире,1.1,7.4,1.7
первый канал,новости. (07:00),1.1,20.1,1.6
первый канал,время покажет,1.1,8.6,3.2
тнт,новая фабрика звезд,1.1,6.7,3.8
нтв,сегодня утром. (10:00),1.1,16.0,1.3
первый канал,новости. (09:00),1.1,18.0,1.5
рен тв,новости. (23:00),1.1,6.9,1.3
стс,как деревянко ломоносова играл,1.1,8.0,2.3
первый канал,человек и закон,1.1,9.1,2.7
россия 1,вести. (08:00),1.1,16.4,1.1
рен тв,xxx - три икса,1.1,5.4,3.5
рен тв,смотреть всем!,1.1,5.5,2.6
тнт,лига городов,1.1,5.9,2.8
первый канал,новости. (12:00),1.1,13.7,1.5
первый канал,новости. (08:30),1.1,20.2,1.3
россия 1,вести. (16:00),1.1,7.5,2.2
россия 1,вести. (07:00),1.1,21.0,1.3
мир,судьба резидента,1.1,6.8,1.4
стс,окнутые люди,1.1,5.4,3.5
