0,1,2
россия 1,8.61,3.88
первый канал,7.51,4.31
нтв,6.19,3.28
рен тв,5.99,3.41
тнт,4.12,2.3
стс,4.02,2.93
россия 24,3.26,2.4
домашний,3.24,1.65
пятница,3.16,1.78
5 канал,2.77,1.7
мосфильм. золотая коллекция hd,2.73,1.98
тв центр,2.45,1.77
ю,2.41,1.12
тв3,2.21,1.83
мульт hd,2.13,0.86
россия 1 hd,1.94,1.09
звезда,1.92,1.79
матч! тв,1.9,1.45
русский роман,1.89,1.0
мир,1.65,1.31
первый канал hd,1.64,1.08
карусель,1.61,0.96
солнце,1.53,0.8
viju tv1000 action,1.43,1.35
русский детектив,1.33,0.59
кино тв hd,1.31,1.3
нст,1.17,0.96
мультимузыка,1.17,0.41
волжский+ (powernet),1.17,1.04
русский бестселлер,1.15,0.66
нтв-хит,1.12,0.49
тнт4,1.1,0.71
viju tv1000,1.07,1.19
кинопоказ,1.04,1.32
cinema,1.0,1.27
день победы hd,0.99,1.14
комедия,0.97,0.99
viju tv1000 русское,0.93,1.28
блокбастер hd,0.93,1.15
detectivejam hd (тест),0.92,0.58
суббота!,0.9,0.52
отр,0.87,1.25
стс love,0.83,0.49
россия к,0.81,1.19
чижик hd,0.8,0.7
че,0.79,0.56
ultra hd cinema hd,0.75,0.9
муз,0.75,0.78
спас,0.74,0.89
scream hd,0.72,0.77
kinojam 2 hd (тест),0.68,0.91
kinojam 1 hd (тест),0.68,1.04
сарафан,0.67,0.61
нтв-сериал hd,0.65,0.4
нтв-стиль hd,0.65,0.42
bolt hd,0.65,0.56
нтв-право,0.62,0.39
нтв hd,0.61,0.44
тнт hd,0.6,0.42
волгоград 24 hd,0.6,0.96
bridge classic,0.57,0.26
любимое кино,0.57,0.81
живая планета,0.57,0.32
ultra hd cinema,0.56,0.86
рыжий,0.56,0.37
матч! тв hd,0.56,0.21
star cinema hd,0.56,0.48
еврокино,0.56,0.91
русский иллюзион,0.55,0.77
.black,0.54,0.48
иллюзион плюс,0.53,0.76
дорама hd,0.53,0.27
viju nature,0.53,0.32
красная линия,0.53,0.26
рбк,0.52,0.23
мтв,0.51,0.74
рыболов,0.5,0.4
в гостях у сказки,0.49,0.4
охотник и рыболов hd,0.49,0.39
диалоги о рыбалке,0.49,0.43
familyjam hd (тест),0.48,0.49
viju explore,0.48,0.29
star family hd,0.46,0.52
bridge шлягер,0.46,0.27
ретро,0.46,0.61
2x2,0.46,0.32
уникум,0.45,0.31
арсенал hd,0.45,0.38
тайна,0.45,0.57
tv xxi,0.45,0.62
охота и рыбалка,0.45,0.38
наука 2.0,0.45,0.23
волгоград 1 hd,0.44,0.62
телепутешествия,0.43,0.23
приключения hd,0.43,0.29
моя планета,0.43,0.29
zоопарк,0.43,0.27
усадьба,0.42,0.21
bridge deluxe,0.42,0.13
viju history,0.42,0.28
т24,0.42,0.38
bridge hits,0.41,0.18
советское кино,0.41,0.5
ru tv,0.4,0.16
bollywood hd,0.4,0.29
e,0.4,0.14
zoo tv,0.4,0.29
bridge фрэш,0.39,0.17
загородный,0.38,0.21
europa plus tv,0.38,0.18
тнт music,0.38,0.16
история,0.38,0.21
bridge русский хит,0.36,0.17
вопросы и ответы,0.36,0.11
rtg,0.36,0.12
9 волна,0.36,0.13
старт hd,0.36,0.1
rtg hd,0.35,0.16
russian extreme,0.35,0.16
bridge,0.35,0.13
viju+ sport,0.35,0.13
bridge rock,0.34,0.14
первый космический hd,0.34,0.23
shopping live,0.34,0.12
sumiko hd,0.33,0.17
союз,0.33,0.04
спортивный hd,0.33,0.09
нано,0.33,0.12
телеканал народной музыки hd,0.33,0.13
кубань 24,0.33,0.11
театр,0.32,0.32
ювелирочка,0.32,0.07
тонус тв,0.32,0.07
калейдоскоп тв,0.32,0.08
радио вести фм,0.32,0.02
домашние животные,0.32,0.19
футбол hd,0.32,0.09
просвещение,0.32,0.08
футбольный hd,0.32,0.07
радио россии,0.32,0.06
russia today doc hd,0.32,0.11
живи активно hd,0.32,0.13
вместе-рф,0.31,0.08
о!2 тв hd,0.31,0.12
беларусь 24,0.31,0.07
leomax24,0.31,0.07
здоровое тв,0.31,0.09
радио маяк,0.31,0.03
мир 24,0.31,0.09
360 hd,0.31,0.08
da vinci,0.31,0.13
luxury,0.31,0.06
хоккейный hd,0.31,0.04
russia today,0.31,0.06
астрахань 24 hd,0.31,0.08
три ангела,0.31,0.04
психология-21,0.31,0.06
тнв планета,0.31,0.06
грозный,0.31,0.06
8 канал,0.31,0.04
мама,0.31,0.02
