0,1,2,3,4
россия 1,местное время,2.5,16.0,3.3
тнт,сокровища императора,2.2,13.6,5.8
россия 1,вести. (20:00),2.2,15.9,4.8
стс,джуманджи: новый уровень,2.1,13.5,5.6
тнт,экстрасенсы. реванш,1.8,12.7,3.2
россия 1,вести недели,1.8,11.6,6.4
россия 1,выборы президента россии 2024,1.6,10.2,5.1
стс,инспектор гаврилов,1.6,12.2,2.1
нтв,"""следствие вели..."" с леонидом каневским",1.6,13.3,2.7
первый канал,переведи ее через майдан,1.5,11.5,2.9
россия 1,анна медиум,1.5,10.2,2.6
тнт,шоу воли,1.4,9.9,4.0
первый канал,голос,1.4,11.4,4.9
первый канал,время,1.4,9.7,3.5
россия 1,60 минут,1.4,16.9,5.2
тнт,конфетка,1.3,9.3,4.4
стс,"короче, план такой",1.3,10.2,2.3
пятница,молодые ножи,1.3,9.3,3.2
тнт,комеди клаб,1.2,8.9,2.8
нтв,ты не поверишь!,1.2,8.4,3.4
стс,уральские пельмени,1.2,10.9,3.9
россия 1,пятеро на одного,1.1,16.1,2.1
пятница,большие девочки,1.1,9.3,2.2
матч тв,футбол. кубок россии 2023-2024 (зенит (санкт-петербург) - динамо (москва)),1.1,8.2,3.4
пятый канал,след,1.0,7.8,1.4
нтв,звезды,1.0,7.6,4.3
россия 1,удивительные люди,1.0,8.9,4.4
нтв,сегодня днем. (16:00),1.0,12.2,1.4
нтв,дачный ответ,1.0,11.3,2.3
пятница,битва шефов,1.0,7.6,3.1
матч тв,футбол. кубок россии 2023-2024 (цска (москва) - ростов (ростов-на-дону)),1.0,7.5,3.0
рен тв,новости. (19:30),1.0,8.1,1.5
первый канал,новости. (07:30),0.9,23.1,1.2
россия 1,утро россии,0.9,21.4,1.2
россия 1,вести. (11:00),0.9,11.0,2.3
россия 1,вечер с владимиром соловьевым,0.9,18.3,2.7
тнт,экстрасенсы. битва сильнейших,0.9,10.2,2.1
мосфильм. золотая коллекция,"кавказская пленница, или новые приключения шурика",0.9,6.3,2.0
пятница,на ножах,0.9,9.3,2.1
тнт,камера мотор,0.9,7.0,1.4
первый канал,"телеканал ""доброе утро""",0.9,20.6,1.4
матч тв,футбол. кубок россии 2023-2024 (спартак (москва) - оренбург (оренбург)),0.9,10.6,2.8
пятница,молодые ножи (повтор),0.9,7.2,2.6
рен тв,земное ядро: бросок в преисподнюю,0.8,6.8,3.4
пятница,четыре свадьбы,0.8,6.4,1.9
нтв,наш потреб надзор,0.8,10.0,2.0
россия 1,воскресный вечер с владимиром соловьевым,0.8,8.1,1.6
нтв,своя игра,0.8,8.1,1.6
нтв,выборы 2024,0.8,6.8,9.5
рен тв,стражи галактики. часть 2,0.8,6.7,4.2
тнт,женский стендап,0.8,7.9,2.3
россия 1,вести. (14:00),0.8,9.2,1.5
стс,джуманджи: зов джунглей,0.8,9.0,3.4
нтв,квартирный вопрос,0.8,12.8,1.7
россия 1,вести. (07:30),0.8,20.7,0.9
первый канал,большая игра,0.8,8.4,2.1
россия 1,крым. 10 лет,0.8,9.4,2.3
первый канал,"новости. (12:00 сб, вск)",0.8,9.3,1.4
пятница,погнали!,0.8,5.5,3.7
нтв,10 дней до весны,0.7,5.8,1.7
россия 1,вести. (09:00),0.7,15.6,1.1
нтв,центральное телевидение,0.7,6.8,3.3
россия 1,москва. кремль. путин,0.7,9.5,1.6
нтв,чудо техники с сергеем малоземовым,0.7,9.2,1.9
пятый канал,великолепная пятерка,0.7,5.6,1.2
россия 1,сто к одному,0.7,9.8,1.7
рен тв,защитник,0.7,5.1,2.6
первый канал,мужское/женское,0.7,13.3,1.1
первый канал,новости. (08:00),0.7,17.3,0.8
первый канал,цивилизации,0.7,6.5,3.0
стс,прятки,0.7,6.2,1.9
россия 1,бесогон тв,0.7,9.9,1.9
первый канал,вечерние новости,0.7,6.2,2.7
стс,назад к динозаврам,0.7,8.5,1.6
рен тв,птица в клетке. заражение,0.7,8.3,2.4
пятница,мастер кондитер,0.7,6.3,2.1
мосфильм. золотая коллекция,иван васильевич меняет профессию,0.7,5.1,1.8
рен тв,новости. итоговая программа,0.7,8.3,2.6
нтв,международная пилорама с тиграном кеосаяном,0.6,7.7,1.5
нтв,место встречи,0.6,14.9,1.9
мосфильм. золотая коллекция,"операция ""ы"" и другие приключения шурика",0.6,5.6,1.3
рен тв,добровэфире,0.6,6.9,1.2
первый канал,новости. (07:00),0.6,19.6,1.1
первый канал,время покажет,0.6,8.1,2.7
тнт,новая фабрика звезд,0.6,6.2,3.3
нтв,сегодня утром. (10:00),0.6,15.5,0.8
первый канал,новости. (09:00),0.6,17.5,1.0
рен тв,новости. (23:00),0.6,6.4,0.8
стс,как деревянко ломоносова играл,0.6,7.5,1.8
первый канал,человек и закон,0.6,8.6,2.2
россия 1,вести. (08:00),0.6,15.9,0.6
рен тв,xxx - три икса,0.6,4.9,3.0
рен тв,смотреть всем!,0.6,5.0,2.1
тнт,лига городов,0.6,5.4,2.3
первый канал,новости. (12:00),0.6,13.2,1.0
первый канал,новости. (08:30),0.6,19.7,0.8
россия 1,вести. (16:00),0.6,7.0,1.7
россия 1,вести. (07:00),0.6,20.5,0.8
мир,судьба резидента,0.6,6.3,0.9
стс,окнутые люди,0.6,4.9,3.0
