0,1,2,3,4
россия 1,местное время,2.7,16.2,3.5
тнт,сокровища императора,2.4,13.8,6.0
россия 1,вести. (20:00),2.4,16.1,5.0
стс,джуманджи: новый уровень,2.3,13.7,5.8
тнт,экстрасенсы. реванш,2.0,12.9,3.4
россия 1,вести недели,2.0,11.8,6.6
россия 1,выборы президента россии 2024,1.8,10.4,5.3
стс,инспектор гаврилов,1.8,12.4,2.3
нтв,"""следствие вели..."" с леонидом каневским",1.8,13.5,2.9
первый канал,переведи ее через майдан,1.7,11.7,3.1
россия 1,анна медиум,1.7,10.4,2.8
тнт,шоу воли,1.6,10.1,4.2
первый канал,голос,1.6,11.6,5.1
первый канал,время,1.6,9.9,3.7
россия 1,60 минут,1.6,17.1,5.4
тнт,конфетка,1.5,9.5,4.6
стс,"короче, план такой",1.5,10.4,2.5
пятница,молодые ножи,1.5,9.5,3.4
тнт,комеди клаб,1.4,9.1,3.0
нтв,ты не поверишь!,1.4,8.6,3.6
стс,уральские пельмени,1.4,11.1,4.1
россия 1,пятеро на одного,1.3,16.3,2.3
пятница,большие девочки,1.3,9.5,2.4
матч тв,футбол. кубок россии 2023-2024 (зенит (санкт-петербург) - динамо (москва)),1.3,8.4,3.6
пятый канал,след,1.2,8.0,1.6
нтв,звезды,1.2,7.8,4.5
россия 1,удивительные люди,1.2,9.1,4.6
нтв,сегодня днем. (16:00),1.2,12.4,1.6
нтв,дачный ответ,1.2,11.5,2.5
пятница,битва шефов,1.2,7.8,3.3
матч тв,футбол. кубок россии 2023-2024 (цска (москва) - ростов (ростов-на-дону)),1.2,7.7,3.2
рен тв,новости. (19:30),1.2,8.3,1.7
первый канал,новости. (07:30),1.1,23.3,1.4
россия 1,утро россии,1.1,21.6,1.4
россия 1,вести. (11:00),1.1,11.2,2.5
россия 1,вечер с владимиром соловьевым,1.1,18.5,2.9
тнт,экстрасенсы. битва сильнейших,1.1,10.4,2.3
мосфильм. золотая коллекция,"кавказская пленница, или новые приключения шурика",1.1,6.5,2.2
пятница,на ножах,1.1,9.5,2.3
тнт,камера мотор,1.1,7.2,1.6
первый канал,"телеканал ""доброе утро""",1.1,20.8,1.6
матч тв,футбол. кубок россии 2023-2024 (спартак (москва) - оренбург (оренбург)),1.1,10.8,3.0
пятница,молодые ножи (повтор),1.1,7.4,2.8
рен тв,земное ядро: бросок в преисподнюю,1.0,7.0,3.6
пятница,четыре свадьбы,1.0,6.6,2.1
нтв,наш потреб надзор,1.0,10.2,2.2
россия 1,воскресный вечер с владимиром соловьевым,1.0,8.3,1.8
нтв,своя игра,1.0,8.3,1.8
нтв,выборы 2024,1.0,7.0,9.7
рен тв,стражи галактики. часть 2,1.0,6.9,4.4
тнт,женский стендап,1.0,8.1,2.5
россия 1,вести. (14:00),1.0,9.4,1.7
стс,джуманджи: зов джунглей,1.0,9.2,3.6
нтв,квартирный вопрос,1.0,13.0,1.9
россия 1,вести. (07:30),1.0,20.9,1.1
первый канал,большая игра,1.0,8.6,2.3
россия 1,крым. 10 лет,1.0,9.6,2.5
первый канал,"новости. (12:00 сб, вск)",1.0,9.5,1.6
пятница,погнали!,1.0,5.7,3.9
нтв,10 дней до весны,0.9,6.0,1.9
россия 1,вести. (09:00),0.9,15.8,1.3
нтв,центральное телевидение,0.9,7.0,3.5
россия 1,москва. кремль. путин,0.9,9.7,1.8
нтв,чудо техники с сергеем малоземовым,0.9,9.4,2.1
пятый канал,великолепная пятерка,0.9,5.8,1.4
россия 1,сто к одному,0.9,10.0,1.9
рен тв,защитник,0.9,5.3,2.8
первый канал,мужское/женское,0.9,13.5,1.3
первый канал,новости. (08:00),0.9,17.5,1.0
первый канал,цивилизации,0.9,6.7,3.2
стс,прятки,0.9,6.4,2.1
россия 1,бесогон тв,0.9,10.1,2.1
первый канал,вечерние новости,0.9,6.4,2.9
стс,назад к динозаврам,0.9,8.7,1.8
рен тв,птица в клетке. заражение,0.9,8.5,2.6
пятница,мастер кондитер,0.9,6.5,2.3
мосфильм. золотая коллекция,иван васильевич меняет профессию,0.9,5.3,2.0
рен тв,новости. итоговая программа,0.9,8.5,2.8
нтв,международная пилорама с тиграном кеосаяном,0.8,7.9,1.7
нтв,место встречи,0.8,15.1,2.1
мосфильм. золотая коллекция,"операция ""ы"" и другие приключения шурика",0.8,5.8,1.5
рен тв,добровэфире,0.8,7.1,1.4
первый канал,новости. (07:00),0.8,19.8,1.3
первый канал,время покажет,0.8,8.3,2.9
тнт,новая фабрика звезд,0.8,6.4,3.5
нтв,сегодня утром. (10:00),0.8,15.7,1.0
первый канал,новости. (09:00),0.8,17.7,1.2
рен тв,новости. (23:00),0.8,6.6,1.0
стс,как деревянко ломоносова играл,0.8,7.7,2.0
первый канал,человек и закон,0.8,8.8,2.4
россия 1,вести. (08:00),0.8,16.1,0.8
рен тв,xxx - три икса,0.8,5.1,3.2
рен тв,смотреть всем!,0.8,5.2,2.3
тнт,лига городов,0.8,5.6,2.5
первый канал,новости. (12:00),0.8,13.4,1.2
первый канал,новости. (08:30),0.8,19.9,1.0
россия 1,вести. (16:00),0.8,7.2,1.9
россия 1,вести. (07:00),0.8,20.7,1.0
мир,судьба резидента,0.8,6.5,1.1
стс,окнутые люди,0.8,5.1,3.2
