0,1,2,3,4
россия 1,местное время,2.6,16.1,3.4
тнт,сокровища императора,2.3,13.7,5.9
россия 1,вести. (20:00),2.3,16.0,4.9
стс,джуманджи: новый уровень,2.2,13.6,5.7
тнт,экстрасенсы. реванш,1.9,12.8,3.3
россия 1,вести недели,1.9,11.7,6.5
россия 1,выборы президента россии 2024,1.7,10.3,5.2
стс,инспектор гаврилов,1.7,12.3,2.2
нтв,"""следствие вели..."" с леонидом каневским",1.7,13.4,2.8
первый канал,переведи ее через майдан,1.6,11.6,3.0
россия 1,анна медиум,1.6,10.3,2.7
тнт,шоу воли,1.5,10.0,4.1
первый канал,голос,1.5,11.5,5.0
первый канал,время,1.5,9.8,3.6
россия 1,60 минут,1.5,17.0,5.3
тнт,конфетка,1.4,9.4,4.5
стс,"короче, план такой",1.4,10.3,2.4
пятница,молодые ножи,1.4,9.4,3.3
тнт,комеди клаб,1.3,9.0,2.9
нтв,ты не поверишь!,1.3,8.5,3.5
стс,уральские пельмени,1.3,11.0,4.0
россия 1,пятеро на одного,1.2,16.2,2.2
пятница,большие девочки,1.2,9.4,2.3
матч тв,футбол. кубок россии 2023-2024 (зенит (санкт-петербург) - динамо (москва)),1.2,8.3,3.5
пятый канал,след,1.1,7.9,1.5
нтв,звезды,1.1,7.7,4.4
россия 1,удивительные люди,1.1,9.0,4.5
нтв,сегодня днем. (16:00),1.1,12.3,1.5
нтв,дачный ответ,1.1,11.4,2.4
пятница,битва шефов,1.1,7.7,3.2
матч тв,футбол. кубок россии 2023-2024 (цска (москва) - ростов (ростов-на-дону)),1.1,7.6,3.1
рен тв,новости. (19:30),1.1,8.2,1.6
первый канал,новости. (07:30),1.0,23.2,1.3
россия 1,утро россии,1.0,21.5,1.3
россия 1,вести. (11:00),1.0,11.1,2.4
россия 1,вечер с владимиром соловьевым,1.0,18.4,2.8
тнт,экстрасенсы. битва сильнейших,1.0,10.3,2.2
мосфильм. золотая коллекция,"кавказская пленница, или новые приключения шурика",1.0,6.4,2.1
пятница,на ножах,1.0,9.4,2.2
тнт,камера мотор,1.0,7.1,1.5
первый канал,"телеканал ""доброе утро""",1.0,20.7,1.5
матч тв,футбол. кубок россии 2023-2024 (спартак (москва) - оренбург (оренбург)),1.0,10.7,2.9
пятница,молодые ножи (повтор),1.0,7.3,2.7
рен тв,земное ядро: бросок в преисподнюю,0.9,6.9,3.5
пятница,четыре свадьбы,0.9,6.5,2.0
нтв,наш потреб надзор,0.9,10.1,2.1
россия 1,воскресный вечер с владимиром соловьевым,0.9,8.2,1.7
нтв,своя игра,0.9,8.2,1.7
нтв,выборы 2024,0.9,6.9,9.6
рен тв,стражи галактики. часть 2,0.9,6.8,4.3
тнт,женский стендап,0.9,8.0,2.4
россия 1,вести. (14:00),0.9,9.3,1.6
стс,джуманджи: зов джунглей,0.9,9.1,3.5
нтв,квартирный вопрос,0.9,12.9,1.8
россия 1,вести. (07:30),0.9,20.8,1.0
первый канал,большая игра,0.9,8.5,2.2
россия 1,крым. 10 лет,0.9,9.5,2.4
первый канал,"новости. (12:00 сб, вск)",0.9,9.4,1.5
пятница,погнали!,0.9,5.6,3.8
нтв,10 дней до весны,0.8,5.9,1.8
россия 1,вести. (09:00),0.8,15.7,1.2
нтв,центральное телевидение,0.8,6.9,3.4
россия 1,москва. кремль. путин,0.8,9.6,1.7
нтв,чудо техники с сергеем малоземовым,0.8,9.3,2.0
пятый канал,великолепная пятерка,0.8,5.7,1.3
россия 1,сто к одному,0.8,9.9,1.8
рен тв,защитник,0.8,5.2,2.7
первый канал,мужское/женское,0.8,13.4,1.2
первый канал,новости. (08:00),0.8,17.4,0.9
первый канал,цивилизации,0.8,6.6,3.1
стс,прятки,0.8,6.3,2.0
россия 1,бесогон тв,0.8,10.0,2.0
первый канал,вечерние новости,0.8,6.3,2.8
стс,назад к динозаврам,0.8,8.6,1.7
рен тв,птица в клетке. заражение,0.8,8.4,2.5
пятница,мастер кондитер,0.8,6.4,2.2
мосфильм. золотая коллекция,иван васильевич меняет профессию,0.8,5.2,1.9
рен тв,новости. итоговая программа,0.8,8.4,2.7
нтв,международная пилорама с тиграном кеосаяном,0.7,7.8,1.6
нтв,место встречи,0.7,15.0,2.0
мосфильм. золотая коллекция,"операция ""ы"" и другие приключения шурика",0.7,5.7,1.4
рен тв,добровэфире,0.7,7.0,1.3
первый канал,новости. (07:00),0.7,19.7,1.2
первый канал,время покажет,0.7,8.2,2.8
тнт,новая фабрика звезд,0.7,6.3,3.4
нтв,сегодня утром. (10:00),0.7,15.6,0.9
первый канал,новости. (09:00),0.7,17.6,1.1
рен тв,новости. (23:00),0.7,6.5,0.9
стс,как деревянко ломоносова играл,0.7,7.6,1.9
первый канал,человек и закон,0.7,8.7,2.3
россия 1,вести. (08:00),0.7,16.0,0.7
рен тв,xxx - три икса,0.7,5.0,3.1
рен тв,смотреть всем!,0.7,5.1,2.2
тнт,лига городов,0.7,5.5,2.4
первый канал,новости. (12:00),0.7,13.3,1.1
первый канал,новости. (08:30),0.7,19.8,0.9
россия 1,вести. (16:00),0.7,7.1,1.8
россия 1,вести. (07:00),0.7,20.6,0.9
мир,судьба резидента,0.7,6.4,1.0
стс,окнутые люди,0.7,5.0,3.1
